,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Net Preferred Stock Issuance,Preferred Stock Issuance,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
2022-12-31,-9475000000.0,-10871000000.0,-34898000000.0,72460000000.0,994000000.0,-3078000000.0,9819000000.0,4147000000.0,128127000000.0,127725000000.0,-4283000000.0,4685000000.0,22714000000.0,22714000000.0,-1229000000.0,-5401000000.0,994000000.0,994000000.0,-10871000000.0,-10871000000.0,37562000000.0,37562000000.0,-34898000000.0,72460000000.0,-11632000000.0,-11632000000.0,-347000000.0,15445000000.0,45278000000.0,-29833000000.0,0.0,0.0,0.0,-3078000000.0,-3078000000.0,-6397000000.0,-6397000000.0,-23498000000.0,-39703000000.0,-4897000000.0,-4897000000.0,-4897000000.0,14664000000.0,14664000000.0,618000000.0,1875000000.0,-849000000.0,-849000000.0,3998000000.0,3998000000.0,11179000000.0
2021-12-31,31663000000.0,-12075000000.0,-70124000000.0,90273000000.0,1275000000.0,-2308000000.0,1303000000.0,4231000000.0,127725000000.0,105654000000.0,-3550000000.0,25621000000.0,41547000000.0,41547000000.0,-528000000.0,-4171000000.0,1275000000.0,1275000000.0,-12075000000.0,-12075000000.0,20149000000.0,20149000000.0,-70124000000.0,90273000000.0,-49897000000.0,-49897000000.0,-832000000.0,-8003000000.0,61568000000.0,-69571000000.0,-2648000000.0,0.0,-2648000000.0,-2308000000.0,-2308000000.0,33971000000.0,33971000000.0,12689000000.0,-3679000000.0,7758000000.0,7758000000.0,7758000000.0,774000000.0,774000000.0,-147000000.0,2085000000.0,4000000.0,4000000.0,4216000000.0,4216000000.0,15120000000.0
2020-12-31,-26675000000.0,-1890000000.0,-50484000000.0,60726000000.0,0.0,-1444000000.0,4120000000.0,2591000000.0,105654000000.0,82171000000.0,2828000000.0,20655000000.0,83784000000.0,83784000000.0,2754000000.0,-2739000000.0,0.0,0.0,-1890000000.0,-1890000000.0,10242000000.0,10242000000.0,-50484000000.0,60726000000.0,-37898000000.0,-37898000000.0,-802000000.0,-21510000000.0,38267000000.0,-59777000000.0,3807000000.0,3807000000.0,,-1444000000.0,-1444000000.0,-25231000000.0,-25231000000.0,-42277000000.0,8933000000.0,10187000000.0,10187000000.0,10187000000.0,-29774000000.0,-29774000000.0,274000000.0,1312000000.0,-250000000.0,-250000000.0,3769000000.0,3769000000.0,11179000000.0
2019-12-31,38947000000.0,-5954000000.0,-40548000000.0,30605000000.0,497000000.0,-1826000000.0,12511000000.0,1908000000.0,82171000000.0,87196000000.0,-271000000.0,-4754000000.0,-11966000000.0,-11966000000.0,3548000000.0,-2627000000.0,497000000.0,497000000.0,-5954000000.0,-5954000000.0,-9943000000.0,-9943000000.0,-40548000000.0,30605000000.0,-33561000000.0,-33561000000.0,-953000000.0,-13423000000.0,29163000000.0,-42586000000.0,,,,-1826000000.0,-1826000000.0,40773000000.0,40773000000.0,27608000000.0,-7306000000.0,19942000000.0,19942000000.0,19942000000.0,233000000.0,233000000.0,-195000000.0,1153000000.0,165000000.0,165000000.0,2643000000.0,2643000000.0,9237000000.0
