,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Total Revenue,Operating Revenue
2022-12-31,-48917818.307846,0.183902,-266000000.0,-266000000.0,37676000000.0,7051000000.0,66710000000.0,26097000000.0,92807000000.0,37893082181.692154,37676000000.0,2970000000.0,2965800000.0,12.09,12.1,35892000000.0,35892000000.0,189000000.0,1595000000.0,37676000000.0,37676000000.0,37676000000.0,8490000000.0,46166000000.0,-266000000.0,266000000.0,-2380000000.0,45547000000.0,3911000000.0,41636000000.0,,41636000000.0,128695000000.0,128695000000.0
2021-12-31,0.0,0.189,,,48334000000.0,7932000000.0,52311000000.0,5553000000.0,57864000000.0,48334000000.0,48334000000.0,3026600000.0,3021500000.0,15.36,15.39,46503000000.0,46503000000.0,231000000.0,1600000000.0,48334000000.0,48334000000.0,48334000000.0,11228000000.0,59562000000.0,,,-345000000.0,41603000000.0,3036000000.0,38567000000.0,,38567000000.0,121649000000.0,121649000000.0
2020-12-31,0.0,0.177,,,29131000000.0,8614000000.0,54563000000.0,9960000000.0,64523000000.0,29131000000.0,29131000000.0,3087400000.0,3082400000.0,8.88,8.89,27410000000.0,27410000000.0,138000000.0,1583000000.0,29131000000.0,29131000000.0,29131000000.0,6276000000.0,35407000000.0,,,802000000.0,37464000000.0,2476000000.0,34988000000.0,10338000000.0,34988000000.0,119543000000.0,119543000000.0
2019-12-31,0.0,0.182,,,36431000000.0,8368000000.0,57245000000.0,26795000000.0,84040000000.0,36431000000.0,36431000000.0,3230400000.0,3221500000.0,10.72,10.75,34642000000.0,34642000000.0,202000000.0,1587000000.0,36431000000.0,36431000000.0,36431000000.0,8114000000.0,44545000000.0,,,258000000.0,37734000000.0,3579000000.0,34155000000.0,9821000000.0,34155000000.0,115627000000.0,115627000000.0
