,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Net Preferred Stock Issuance,Preferred Stock Payments,Preferred Stock Issuance,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Net PPE Purchase And Sale,Sale Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Receivables,Other Non Cash Items,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations
2022-12-31,19437000000.0,-3250000000.0,-57085000000.0,104748000000.0,0.0,-5632000000.0,22615000000.0,3733000000.0,342025000000.0,262033000000.0,-3385000000.0,83377000000.0,137763000000.0,137763000000.0,-344000000.0,-5003000000.0,0.0,0.0,0.0,-3250000000.0,-3250000000.0,66786000000.0,19123000000.0,47663000000.0,-57085000000.0,104748000000.0,-79455000000.0,-79455000000.0,-791000000.0,-28841000000.0,232809000000.0,-261650000000.0,5741000000.0,5741000000.0,63000000.0,63000000.0,-5632000000.0,25069000000.0,25069000000.0,19553000000.0,14781000000.0,5343000000.0,-4992000000.0,,-17922000000.0,535000000.0,-1141000000.0,-1141000000.0,4262000000.0,4262000000.0,-330000000.0,-67000000.0,15076000000.0
2021-12-31,57130000000.0,-11386000000.0,-74950000000.0,70658000000.0,3300000000.0,-4119000000.0,7143000000.0,4028000000.0,262033000000.0,309615000000.0,-1198000000.0,-46384000000.0,17272000000.0,17272000000.0,-337000000.0,-5198000000.0,-485000000.0,-3785000000.0,3300000000.0,-7601000000.0,-7601000000.0,-5833000000.0,-1541000000.0,-4292000000.0,-74950000000.0,70658000000.0,-124905000000.0,-124905000000.0,185000000.0,-90330000000.0,268828000000.0,-359158000000.0,,,190000000.0,190000000.0,-4119000000.0,61249000000.0,61249000000.0,38864000000.0,37973000000.0,6839000000.0,-2139000000.0,,-1287000000.0,,1413000000.0,1413000000.0,3964000000.0,3964000000.0,241000000.0,-665000000.0,21945000000.0
2020-12-31,-24067000000.0,-4425000000.0,-63402000000.0,76458000000.0,2995000000.0,-3446000000.0,13298000000.0,4797000000.0,309615000000.0,193919000000.0,-1966000000.0,117662000000.0,233595000000.0,233595000000.0,-411000000.0,-5352000000.0,1495000000.0,-1500000000.0,2995000000.0,-2925000000.0,-2925000000.0,-2479000000.0,-15535000000.0,13056000000.0,-63402000000.0,76458000000.0,-95312000000.0,-95312000000.0,116000000.0,-64386000000.0,270514000000.0,-334900000000.0,0.0,0.0,50000000.0,50000000.0,-3446000000.0,-20621000000.0,-20621000000.0,-53182000000.0,-53930000000.0,558000000.0,-1012000000.0,-3066000000.0,4113000000.0,,-2333000000.0,-2333000000.0,3937000000.0,3937000000.0,-1591000000.0,-1756000000.0,11067000000.0
2019-12-31,-18173000000.0,-19551000000.0,-51029000000.0,59134000000.0,1496000000.0,-5336000000.0,28682000000.0,4888000000.0,193919000000.0,188105000000.0,-908000000.0,6722000000.0,42933000000.0,42933000000.0,-364000000.0,-5447000000.0,-484000000.0,-1980000000.0,1496000000.0,-17571000000.0,-17571000000.0,20808000000.0,12703000000.0,8105000000.0,-51029000000.0,59134000000.0,-23374000000.0,-23374000000.0,196000000.0,-18267000000.0,256224000000.0,-274491000000.0,0.0,0.0,259000000.0,259000000.0,-5336000000.0,-12837000000.0,-12837000000.0,-59268000000.0,-64912000000.0,1829000000.0,4724000000.0,-20377000000.0,16955000000.0,,-610000000.0,-610000000.0,3905000000.0,3905000000.0,-1442000000.0,-1474000000.0,19405000000.0
