,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Preferred Stock Issuance,Preferred Stock Payments,Preferred Stock Issuance,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations
2022-12-31,-6327000000.0,-5727000000.0,-34055000000.0,65910000000.0,4426000000.0,18526000000.0,2288000000.0,230203000000.0,348221000000.0,-3123000000.0,-114895000000.0,-106039000000.0,-106039000000.0,-312000000.0,-8576000000.0,,3772000000.0,-654000000.0,4426000000.0,-5073000000.0,-5073000000.0,35034000000.0,3179000000.0,31855000000.0,-34055000000.0,65910000000.0,-2529000000.0,-2529000000.0,-4612000000.0,84103000000.0,243161000000.0,-159058000000.0,-6327000000.0,-6327000000.0,-51944000000.0,-95772000000.0,20799000000.0,23029000000.0,23029000000.0,7927000000.0,2862000000.0,739000000.0,739000000.0,1978000000.0,1978000000.0,-32000000.0,-32000000.0,27528000000.0
2021-12-31,-7193000000.0,-27097000000.0,-46826000000.0,76675000000.0,2169000000.0,4506000000.0,2760000000.0,348221000000.0,380463000000.0,-3408000000.0,-28834000000.0,291650000000.0,291650000000.0,-620000000.0,-8055000000.0,,198000000.0,-1971000000.0,2169000000.0,-25126000000.0,-25126000000.0,34281000000.0,4432000000.0,29849000000.0,-46826000000.0,76675000000.0,-313291000000.0,-313291000000.0,-3479000000.0,-309745000000.0,291389000000.0,-601134000000.0,-7193000000.0,-7193000000.0,-39920000000.0,-22104000000.0,-34455000000.0,16639000000.0,16639000000.0,-4300000000.0,2768000000.0,-838000000.0,-838000000.0,1898000000.0,1898000000.0,-22000000.0,-22000000.0,31978000000.0
2020-12-31,37993000000.0,-8097000000.0,-47948000000.0,57013000000.0,2181000000.0,8662000000.0,2894000000.0,380463000000.0,161560000000.0,2756000000.0,216147000000.0,355819000000.0,355819000000.0,-601000000.0,-7727000000.0,,1109000000.0,-1072000000.0,2181000000.0,-7025000000.0,-7025000000.0,4172000000.0,-4893000000.0,9065000000.0,-47948000000.0,57013000000.0,-177665000000.0,-177665000000.0,-3489000000.0,-189969000000.0,262443000000.0,-452412000000.0,37993000000.0,37993000000.0,-326000000.0,16942000000.0,-12883000000.0,-4385000000.0,-4385000000.0,3278000000.0,2031000000.0,-1737000000.0,-1737000000.0,1843000000.0,1843000000.0,-411000000.0,-411000000.0,17894000000.0
2019-12-31,61777000000.0,-30712000000.0,-50794000000.0,52420000000.0,3643000000.0,22196000000.0,4359000000.0,161560000000.0,177404000000.0,-368000000.0,-15476000000.0,3377000000.0,3377000000.0,-698000000.0,-5934000000.0,-5934000000.0,1075000000.0,-2568000000.0,3643000000.0,-28144000000.0,-28144000000.0,5630000000.0,4004000000.0,1626000000.0,-50794000000.0,52420000000.0,-80630000000.0,-80630000000.0,-2974000000.0,-24007000000.0,165890000000.0,-189897000000.0,61777000000.0,61777000000.0,13170000000.0,7920000000.0,-11113000000.0,16363000000.0,16363000000.0,7528000000.0,1974000000.0,2435000000.0,2435000000.0,1729000000.0,1729000000.0,1855000000.0,-217000000.0,27430000000.0
