,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Total Revenue,Operating Revenue
2022-12-31,-97290000.0,0.207,-470000000.0,-470000000.0,11029000000.0,3998000000.0,9327000000.0,12268000000.0,21595000000.0,11401710000.0,11029000000.0,1713000000.0,1691000000.0,6.15,6.23,10540000000.0,10540000000.0,489000000.0,11029000000.0,-150000000.0,11179000000.0,,11179000000.0,2910000000.0,14089000000.0,-470000000.0,470000000.0,15000000.0,23958000000.0,905000000.0,23053000000.0,,23053000000.0,50210000000.0,50210000000.0
2021-12-31,0.0,0.231,-456000000.0,-456000000.0,15034000000.0,4216000000.0,8045000000.0,1366000000.0,9411000000.0,15034000000.0,15034000000.0,1814000000.0,1785000000.0,8.03,8.16,14566000000.0,14566000000.0,468000000.0,15034000000.0,-86000000.0,15120000000.0,,15120000000.0,4548000000.0,19668000000.0,-456000000.0,456000000.0,1376000000.0,25271000000.0,643000000.0,24628000000.0,,24628000000.0,56414000000.0,56414000000.0
2020-12-31,0.0,0.225,,,10996000000.0,3769000000.0,6313000000.0,3849000000.0,10162000000.0,10996000000.0,10996000000.0,1624000000.0,1603000000.0,6.46,6.55,10500000000.0,10500000000.0,496000000.0,10996000000.0,-183000000.0,11179000000.0,0.0,11179000000.0,3239000000.0,14418000000.0,,,986000000.0,21288000000.0,434000000.0,20854000000.0,2465000000.0,20854000000.0,45269000000.0,45269000000.0
2019-12-31,0.0,0.183,,,9042000000.0,2643000000.0,4694000000.0,12404000000.0,17098000000.0,9042000000.0,9042000000.0,1640000000.0,1617000000.0,5.19,5.26,8512000000.0,8512000000.0,530000000.0,9042000000.0,-195000000.0,9237000000.0,0.0,9237000000.0,2064000000.0,11301000000.0,,,1540000000.0,19497000000.0,660000000.0,18837000000.0,2194000000.0,18837000000.0,38926000000.0,38926000000.0
