,Treasury Shares Number,Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Preferred Securities Outside Stock Equity,Derivative Product Liabilities,Employee Benefits,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Investments And Advances,Held To Maturity Securities,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Receivables,Other Receivables,Accounts Receivable,Other Short Term Investments,Cash And Cash Equivalents
2022-12-31,582896393.0,159998000.0,334918639.0,917815032.0,66000000000.0,308000000000.0,117000000000.0,308000000000.0,117000000000.0,2154000000.0,117000000000.0,10703000000.0,364000000000.0,117000000000.0,117000000000.0,5696000000.0,-3010000000.0,94631000000.0,139372000000.0,59050000000.0,10712000000.0,9000000.0,10703000000.0,1325000000000.0,649000000.0,54735000000.0,7250000000.0,247000000000.0,2154000000.0,247000000000.0,61000000000.0,61000000000.0,61000000000.0,1718000000.0,262000000000.0,8733000000.0,262000000000.0,2669000000.0,2669000000.0,262000000000.0,1442000000000.0,432000000000.0,46343000000.0,131000000000.0,301000000000.0,766000000.0,8383000000.0,2009000000.0,6374000000.0,19246000000.0,-12190000000.0,31436000000.0,31436000000.0,136000000000.0,11579000000.0,136000000000.0,13180000000.0,242000000000.0
2021-12-31,572857062.0,159998000.0,333573254.0,906430316.0,40000000000.0,301000000000.0,110000000000.0,301000000000.0,110000000000.0,2288000000.0,110000000000.0,10703000000.0,364000000000.0,110000000000.0,110000000000.0,4211000000.0,-2068000000.0,91136000000.0,131811000000.0,56396000000.0,10712000000.0,9000000.0,10703000000.0,1353000000000.0,840000000.0,51953000000.0,10867000000.0,254000000000.0,2288000000.0,254000000000.0,47000000000.0,47000000000.0,47000000000.0,6730000000.0,252000000000.0,8146000000.0,252000000000.0,2360000000.0,2360000000.0,252000000000.0,1463000000000.0,464000000000.0,4699000000.0,89000000000.0,375000000000.0,593000000.0,4703000000.0,418000000.0,4285000000.0,20386000000.0,-10180000000.0,30566000000.0,30566000000.0,161000000000.0,9519000000.0,161000000000.0,25000000.0,261000000000.0
2020-12-31,557603316.0,266998000.0,344088725.0,901692041.0,110000000000.0,266000000000.0,96000000000.0,266000000000.0,96000000000.0,2283000000.0,96000000000.0,11203000000.0,309000000000.0,96000000000.0,96000000000.0,3468000000.0,-1434000000.0,85940000000.0,112947000000.0,55679000000.0,11212000000.0,9000000.0,11203000000.0,1067000000000.0,,58591000000.0,7930000000.0,213000000000.0,2283000000.0,213000000000.0,53000000000.0,53000000000.0,53000000000.0,6085000000.0,191000000000.0,7443000000.0,191000000000.0,3155000000.0,3155000000.0,191000000000.0,1163000000000.0,483000000000.0,4800000000.0,89000000000.0,394000000000.0,366000000.0,4962000000.0,630000000.0,4332000000.0,25427000000.0,-10120000000.0,35547000000.0,35547000000.0,121000000000.0,7056000000.0,121000000000.0,526000000.0,156000000000.0
2019-12-31,549439468.0,188998000.0,347343184.0,896782652.0,122000000000.0,255000000000.0,90000000000.0,255000000000.0,90000000000.0,2385000000.0,90000000000.0,11203000000.0,297000000000.0,90000000000.0,90000000000.0,3195000000.0,-1484000000.0,84006000000.0,106465000000.0,54883000000.0,11212000000.0,9000000.0,11203000000.0,903000000000.0,,43802000000.0,6970000000.0,207000000000.0,2385000000.0,207000000000.0,48000000000.0,48000000000.0,48000000000.0,,175000000000.0,7636000000.0,175000000000.0,2947000000.0,2947000000.0,175000000000.0,993000000000.0,419000000000.0,5825000000.0,64000000000.0,355000000000.0,285000000.0,4837000000.0,641000000.0,4196000000.0,24246000000.0,-9950000000.0,34196000000.0,34196000000.0,75000000000.0,5799000000.0,75000000000.0,,133000000000.0
